Participant,Age,Gender,Occupation,OccupGroup,OtherLgs,Education,EduTotal,ReadEng1,ReadEng2,ReadEng3,ReadEng,Active,ObjCl,ObjRel,Passive,Postmod,Q.has,Q.is,Locative,SubCl,SubRel,GrammarR,Grammar,VocabR,Vocab,CollocR,Colloc,Blocks,ART,LgAnalysis,Group,NativeLg,EdNative,EdUK,EduYrsNat,EduYrsEng,FirstExp,Arrival,LoR,EngWork,EngPrivate,ReadOth1,ReadOth2,ReadOth3,ReadOth,UseEngC,NativeLgFamily
38,21,F,Nail Technician,M,None,Gcses,12,1,1,3,5,8,8,8,8,8,8,8,8,8,7,79,97.5,46,68.88888889,25,53.125,12,12,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,25,F,Human Resources,C,None,Ma,18,2,2,3,7,8,8,8,7,8,8,6,8,8,8,77,92.5,52,82.22222222,27,59.375,21,18,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,26,F,Teacher,PS,German,Ba,17,4,3,4,11,8,8,8,8,8,8,8,8,7,8,79,97.5,49,75.55555556,33,78.125,19,12,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,60,M,Boilermaker,M,None,City And Guilds,12,2,2,2,6,8,6,6,8,7,7,6,8,8,8,72,80,51,80,29,65.625,12,10,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,57,F,Clerk,C,None,Gce,12,5,5,3,13,8,8,7,8,8,5,6,8,8,8,74,85,54,86.66666667,35,84.375,10,18,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,60,M,Retired,I,None,Ba,17,3,3,2,8,8,8,8,8,8,8,0,8,8,8,72,80,55,88.88888889,33,78.125,12,17,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,52,F,Dental Nurse,M,None,College,14,2,2,2,6,8,7,8,8,7,8,8,8,8,8,78,95,49,75.55555556,30,68.75,15,9,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,25,M,Sales Assistant,C,None,Gcses,12,2,2,4,8,8,8,8,8,8,8,8,6,8,8,78,95,41,57.77777778,26,56.25,8,11,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,23,F,Unemployed,I,None,A Level,14,3,3,2,8,8,8,8,8,8,4,4,8,8,8,72,80,55,88.88888889,37,90.625,11,8,12,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,42,F,University Lecturer,PS,None,Phd,21,5,4,4,13,8,8,8,8,8,8,8,8,8,8,80,100,58,95.55555556,37,90.625,16,40,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,59,F,Retired,I,None,Gces,12,2,2,2,6,5,8,7,8,7,6,5,8,5,6,65,62.5,42,60,26,56.25,8,11,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,30,M,Unemployed,I,None,Nvq,13,4,4,4,12,8,8,8,8,8,5,8,8,8,8,77,92.5,50,77.77777778,30,68.75,15,11,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,21,F,Student,PS,None,A Level,14,2,2,1,5,8,8,8,8,8,4,8,8,7,8,75,87.5,40,55.55555556,30,68.75,15,4,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,21,F,Student,PS,None,A Level,14,4,2,3,9,8,8,8,8,8,8,8,8,8,8,80,100,51,80,30,68.75,19,8,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,60,M,Retired,I,None,City And Guilds In Engineering,12,3,3,2,8,7,7,5,8,5,2,5,8,8,8,63,57.5,55,88.88888889,25,53.125,10,13,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,51,F,P/T Administrator,C,None,"Ba, Pg Diploma, Teaching Certificate",19,5,3,2,10,8,8,7,8,8,8,8,8,8,7,78,95,57,93.33333333,35,84.375,18,24,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,62,F,Retired,I,None,Ba,17,5,5,4,14,8,8,8,8,8,8,7,8,8,8,79,97.5,57,93.33333333,36,87.5,13,39,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,65,F,Creative Writing Tutor,PS,None,"Ba, Ma",18,3,4,3,10,8,8,8,8,8,8,6,8,8,8,78,95,58,95.55555556,31,71.875,11,46,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,19,F,Student (College),PS,None,A Level,14,1,1,2,4,8,8,8,8,8,8,7,8,8,8,79,97.5,49,75.55555556,22,43.75,21,1,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,65,F,Retired,I,German,Ba,17,3,3,2,8,8,8,8,8,8,6,7,8,8,8,77,92.5,50,77.77777778,32,75,11,36,12,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,29,M,Teacher,PS,None,"Ba, Pgce",18,2,2,2,6,8,8,8,8,8,8,7,8,8,8,79,97.5,52,82.22222222,34,81.25,21,17,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,38,M,Unemployed,I,None,Gcses,12,1,0,2,3,8,8,8,8,8,7,8,8,8,8,79,97.5,51,80,36,87.5,13,23,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,37,F,Receptionist,C,None,Gcses,12,2,2,1,5,8,8,7,8,8,5,1,8,7,8,68,70,35,44.44444444,23,46.875,9,18,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,42,F,Catering Assistant,M,None,Btec Supervisory Management,13,2,2,2,6,8,8,8,8,7,3,8,8,8,8,74,85,43,62.22222222,31,71.875,16,7,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,20,M,Shop Assistant,M,None,"Gcses, Nvq Sports And Recreation",13,3,3,2,8,8,7,8,8,8,8,7,8,8,8,78,95,41,57.77777778,22,43.75,20,6,8,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,32,F,Unemployed,I,None,"Ba, Pgce",18,2,2,3,7,8,8,8,8,8,7,8,8,8,8,79,97.5,57,93.33333333,39,96.875,15,18,13,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,29,F,Waitress,M,None,"Gcses, Nvq Level 2 Beauty",13,0,0,0,0,8,7,8,8,7,8,1,8,8,8,71,77.5,41,57.77777778,27,59.375,8,4,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,29,F,Care Assisant,M,None,Gcses,12,3,3,2,8,8,6,7,8,6,7,7,8,8,8,73,82.5,45,66.66666667,24,50,9,4,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,27,F,Civil Servant,C,None,Nvq Level 2 Admin,13,3,3,3,9,8,7,8,8,8,8,7,8,8,8,78,95,37,48.88888889,26,56.25,8,4,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,28,F,Administrator,C,None,Nvq Level 3,13,5,4,3,12,8,8,8,8,8,8,7,8,8,8,79,97.5,50,77.77777778,38,93.75,15,11,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,29,F,Admin Assistant,C,None,Btec,13,3,2,2,7,7,8,6,8,8,7,8,8,8,8,76,90,38,51.11111111,28,62.5,13,4,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,25,F,Project Coordinator,C,None,Nvq,13,0,1,2,3,8,7,7,8,8,2,8,7,8,7,70,75,46,68.88888889,27,59.375,20,7,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,33,M,Quantity Surveyor,PS,German,Msc,18,3,3,1,7,8,8,7,8,8,8,8,8,8,8,79,97.5,51,80,34,81.25,19,7,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,25,M,Office Admin Co-Ordinator,C,None,A Levels/Gnvqs,14,5,5,3,13,8,8,7,8,8,7,8,8,8,8,78,95,51,80,28,62.5,23,6,8,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,25,M,Personal Searcher,C,None,Hetc,13,2,2,0,4,8,8,7,8,8,2,8,8,8,8,73,82.5,40,55.55555556,24,50,16,2,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,25,F,Teacher,PS,None,"Degree, Pgce",18,5,5,3,13,7,8,7,8,7,4,7,7,7,7,69,72.5,50,77.77777778,35,84.375,22,11,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,52,F,Support Worker,C,French,O'levels,12,4,4,1,9,8,8,8,8,8,2,7,8,8,7,72,80,51,80,33,78.125,14,16,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,25,M,Train Driver,M,None,"A Level, Ncts",14,2,2,2,6,8,8,7,8,8,7,8,8,8,8,78,95,52,82.22222222,32,75,16,9,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,53,M,Quantity Surveyor,C,None,"A Level, Rics",16,2,2,2,6,8,8,8,8,8,8,8,8,8,8,80,100,56,91.11111111,39,96.875,21,22,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,22,M,Shop Assistant,M,None,Bsc,17,2,2,2,6,8,8,8,8,8,4,8,8,8,8,76,90,47,71.11111111,27,59.375,19,5,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,65,M,Retired,I,None,Northern Counties School Leaving Exam,10,1,1,0,2,7,5,6,7,7,1,4,8,8,8,61,52.5,28,28.88888889,11,9.375,3,6,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,60,F,Retired,I,None,Northern Counties School Leaving Exam,10,1,1,1,3,8,5,5,8,8,4,8,8,8,8,70,75,52,82.22222222,37,90.625,1,16,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,61,M,Retired,I,None,Northern Counties School Leaving Exam,10,1,2,2,5,7,8,6,7,8,4,8,8,8,8,72,80,51,80,37,90.625,13,14,2,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,65,M,Retired,I,None,11 Plus,11,3,3,4,10,8,8,7,7,7,6,7,8,8,8,76,90,43,62.22222222,13,15.625,9,5,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,65,M,Retired,I,None,Mba (Civil Engineering),14,1,1,0,2,8,8,8,8,8,8,8,8,8,8,80,100,58,95.55555556,37,90.625,16,12,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,61,M,School Crossing Patrol,M,None,City And Guilds,16,1,1,2,4,8,7,7,8,8,6,5,7,8,8,72,80,46,68.88888889,25,53.125,4,11,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,30,M,Supermarket Assistant,M,None,Gcse,11,3,3,3,9,8,8,7,8,6,5,6,8,7,7,70,75,21,13.33333333,32,75,3,11,0,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,30,M,Policeman,C,None,A2/Gnvq,13,3,1,2,6,8,8,8,8,7,6,7,8,7,8,75,87.5,19,8.888888889,31,71.875,7,9,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,32,M,Factory Worker,M,None,A Levels/Gnvq,13,0,0,0,0,8,7,8,7,6,6,7,8,8,8,73,82.5,27,26.66666667,37,90.625,18,10,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,30,M,Unemploed,I,None,A2/Gnvq,13,3,3,3,9,8,8,8,8,8,7,7,8,8,8,78,95,32,37.77777778,36,87.5,9,14,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,39,F,Singer,PS,Spanish,Foundation Degree,13,1,1,1,3,8,8,8,8,8,8,8,7,8,8,79,97.5,40,55.55555556,27,59.375,15,6,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
