Participant,Age,Gender,Occupation,OccupGroup,OtherLgs,Education,EduTotal,ReadEng1,ReadEng2,ReadEng3,ReadEng,Active,ObjCl,ObjRel,Passive,Postmod,Q.has,Q.is,Locative,SubCl,SubRel,GrammarR,Grammar,VocabR,Vocab,CollocR,Colloc,Blocks,ART,LgAnalysis,Group,NativeLg,EdNative,EdUK,EduYrsNat,EduYrsEng,FirstExp,Arrival,LoR,EngWork,EngPrivate,ReadOth1,ReadOth2,ReadOth3,ReadOth,UseEngC,NativeLgFamily
236,26,F,Barmaid,M,No,NA,17,2,2,3,7,8,7,8,8,7,8,7,8,8,8,77,92.5,39,53.33333333,13,15.625,22,8,11,L2,Polish,Masters Degree,No,17,0,5,24,3,5,3,3,3,2,8,-0.175430556,Slavic
201,39,F,Data Entry,C,English And Itlian,NA,15,4,4,2,10,6,7,3,5,3,3,5,4,4,4,44,10,46,68.88888889,14,18.75,22,35,11,L2,Spanish,Ba,None,15,0,3,25,3,5,4,3,3,1,7,1.231654562,Romance
233,29,F,Inventory Taker,C,English And Russian At School,NA,12,1,1,2,4,8,8,5,6,5,5,8,8,8,8,69,72.5,34,42.22222222,7,-3.125,10,14,1,L2,Polish,Administration,College Ongoing,12,0,6,26,3,4,1,0,2,2,4,-2.946198308,Slavic
234,29,M,Factory Worker,M,English At School,NA,17,1,1,2,4,8,8,6,5,5,1,8,8,8,8,65,62.5,34,42.22222222,14,18.75,13,14,9,L2,Polish,It,No,16,1,5,26,3,4,1,1,2,2,5,-2.399983726,Slavic
19,31,F,Cleaner,M,None,NA,13,2,1,2,5,8,8,8,8,8,6,7,8,6,7,74,85,40,55.55555556,14,18.75,15,5,6,L2,Polish,High School; College (Masseuse Course),Esol (Speaking And Listening),13,0,16,28,3,3,1,1,1,2,4,-3.4278128,Slavic
232,31,F,Horticultarist,M,German/French,NA,13,5,2,1,8,8,4,5,8,4,8,8,8,8,7,68,70,32,37.77777778,8,0,21,14,1,L2,Polish,High School,No,12,1,13,28,3,5,4,3,0,2,5,1.252852169,Slavic
223,33,M,Product Operative,M,No,NA,19,5,5,2,12,8,8,8,8,8,7,7,8,8,7,77,92.5,49,75.55555556,9,3.125,14,9,14,L2,Polish,Bachelors Degree,College (Functional English),17,2,14,30,3,3,1,0,0,0,0,-0.497824225,Slavic
226,47,M,Product Operative,M,No,NA,17,0,0,0,0,8,4,4,7,3,7,5,8,7,4,57,42.5,26,24.44444444,9,3.125,16,11,8,L2,Polish,High School,"Action Language (1 Year, No Qualifications)",17,0,24,44,3,1,1,0,0,0,0,-6.228601195,Slavic
228,48,F,Product Operative,M,No,NA,14,0,0,0,0,7,1,7,5,3,5,3,6,3,5,45,12.5,38,51.11111111,8,0,19,12,5,L2,Polish,High School,"Action Language (1 Year, No Qualifications)",12,2,24,45,3,1,1,2,0,3,5,-5.136172032,Slavic
304,52,F,Cashier,M,English,NA,15,1,1,3,5,7,1,0,1,1,2,7,8,7,7,41,2.5,13,-4.444444444,10,6.25,11,0,2,L2,Mandarin,1982-1985 Degree In Accounting In Radio And Tv Univerisity Of Guangzhou,2014-? Taking The Course Of Tesl (E1) In Newcastle College,15,0,1,49,3,2,2,3,3,3,9,-3.552376124,Chinese
245,21,F,Student,PS,Parients Occasionally Spoke Russian And School In Lithuania,NA,14,3,4,2,9,4,4,5,4,6,5,2,5,4,3,42,5,45,66.66666667,14,18.75,20,3,3,L2,Polish,Secondary Education In Lithuania,Undergrad Study In Newcastle,12,2,NA,17,4,5,5,2,2,1,5,2.681134893,Slavic
54,28,F,Admin Assistant,C,None,NA,14,4,5,2,11,8,8,8,8,8,8,8,8,7,8,79,97.5,40,55.55555556,21,40.625,20,9,12,L2,Polish,Diploma,Esol,14,0,3,23,4,5,1,1,1,0,2,-0.364515917,Slavic
310,27,F,Phd Candidate,PS,English,NA,24,2,3,1,6,8,8,8,8,7,8,6,8,8,8,77,92.5,19,8.888888889,9,3.125,17,0,4,L2,Mandarin,"2011, Ma In Urban Planning And Disaster Management In Chinese Culture University",2011-2016 Phd In Urban Planning In Newcastle University,19,5,3,23,4,5,5,1,1,3,5,3.532253177,Chinese
37,28,F,Student,PS,None,NA,18,3,4,2,9,8,8,8,8,7,7,8,8,8,8,78,95,38,51.11111111,26,56.25,22,14,3,L2,Polish,Ma,Aat Accounting,17,1,3,24,4,5,5,2,2,2,6,2.134920312,Slavic
205,24,F,Bar Staff,M,Engl;Ish Russian,NA,14,4,4,2,10,8,8,8,8,8,8,8,8,8,8,80,100,55,88.88888889,19,34.375,24,10,13,L2,Lithuanian,International Baccalaureat,Ba Ongoing,12,2,2,19,4.5,5,4,1,1,1,3,2.324083725,Baltic
235,28,F,Care Worker,M,No,NA,17,1,1,1,3,8,7,6,5,7,6,4,8,6,5,62,55,47,71.11111111,11,9.375,15,6,15,L2,Polish,High School And University,Msc (1st Year),17,0,7,22,5,5,4,1,1,2,4,-0.60590485,Slavic
53,28,M,Driver,M,None,NA,14,1,1,0,2,8,8,7,8,8,0,8,8,8,8,71,77.5,37,48.88888889,11,9.375,23,4,6,L2,Polish,Diploma,Esol,14,0,7,23,5,3,1,1,0,0,1,-4.215338262,Slavic
16,31,F,After School Club Assistant,M,"English, German",NA,19,1,1,3,5,8,8,8,8,8,8,7,7,8,8,78,95,47,71.11111111,18,31.25,16,17,13,L2,Polish,A Level,Ma Applied Linguistics,17,2,4,26,5,5,3,1,1,0,2,0.391981633,Slavic
31,22,F,Student,PS,None,NA,14,5,3,2,10,8,8,8,8,8,8,8,8,8,8,80,100,39,53.33333333,28,62.5,17,5,13,L2,Polish,Gcses,A Levels,12,2,4,16,6,5,5,1,0,1,2,2.943643381,Slavic
202,24,M,Student,PS,Russian,NA,15,3,4,3,10,8,8,8,8,8,7,8,8,8,8,79,97.5,50,77.77777778,26,56.25,21,16,9,L2,Lithuanian,Ba I9ncomplete,Undergraduate Incomplete,14,1,1,18,6,5,2,2,1,2,5,0.538749833,Baltic
13,30,F,Teacher,PS,German,NA,18,3,3,3,9,8,8,8,8,8,4,8,8,8,8,76,90,48,73.33333333,21,40.625,11,21,10,L2,Polish,Ma,"Ecdl, Nvq, Ilm",16,2,3,24,6,5,4,2,2,2,6,2.061575238,Slavic
29,30,F,Housing Services Officer,C,Latvian,NA,15,5,5,4,14,8,7,8,8,8,8,3,7,8,8,73,82.5,47,71.11111111,26,56.25,13,24,8,L2,Polish,"Unfinished Ba, Warsaw University",Esdl,15,0,1,24,6,5,1,2,3,4,9,0.423009545,Slavic
224,31,F,Freelance Interpreter,PS,"English, German And Norwegian",NA,16,4,4,3,11,8,8,7,8,8,7,8,8,8,7,77,92.5,9,-13.33333333,24,50,14,23,5,L2,Polish,High School,Msc In Medical Imaging,12,4,3,25,6,3,5,1,1,2,4,2.810335073,Slavic
210,34,M,Chemist,PS,None,NA,17,3,2,2,7,8,7,7,8,7,6,8,8,8,8,75,87.5,32,37.77777778,27,59.375,12,5,7,L2,Chinese,Phd Chemistry,None,12,5,1,29,6,5,5,1,1,2,4,3.794761664,Chinese
207,37,F,Physicist,PS,English,NA,21,5,5,3,13,8,8,8,8,8,7,8,7,8,8,78,95,56,91.11111111,26,56.25,26,5,15,L2,Greek,Phd,None,21,0,27,30,6,5,5,1,1,2,4,2.638739679,Hellenic
216,38,F,Media Asst.,C,Italian/Frenc/Portuguese,NA,17,5,2,2,9,5,6,3,3,5,3,6,5,4,4,44,10,41,57.77777778,18,31.25,17,15,7,L2,Spanish,Degree,Career Specific Qualifications,17,0,3,32,6,5,3,4,1,1,6,0.349586419,Romance
18,39,M,Bus Mechanic,M,None,NA,14,0,0,0,0,8,7,7,8,6,2,7,8,8,8,69,72.5,37,48.88888889,13,15.625,17,14,13,L2,Polish,College,None,14,0,12,33,6,5,1,1,0,2,3,-3.252109278,Slavic
212,29,M,Student,PS,Malay English,NA,19,5,4,1,10,8,8,8,8,2,0,8,8,8,8,66,65,53,84.44444444,14,18.75,25,4,15,L2,Chinese,Gsce,Phd,17,2,1,22,7,5,1,5,4,2,11,0.465404759,Chinese
36,31,F,Research Assistant,PS,None,NA,18,3,3,1,7,7,8,8,8,8,8,8,8,8,8,79,97.5,36,46.66666667,10,6.25,18,13,8,L2,Polish,Ma,"Teaching Assistant, Hefc",17,1,8,25,7,5,4,3,3,1,7,0.990343681,Slavic
30,37,M,Mechanical Services Engineer,PS,German,NA,17,1,1,2,4,8,8,8,8,8,4,8,8,8,8,76,90,44,64.44444444,15,21.875,17,6,11,L2,Polish,Diploma In Engineering,Ba,15,2,18,30,7,5,1,2,2,1,5,-1.109646165,Slavic
307,51,F,Finance Assistant,C,English,NA,16,5,5,1,11,8,6,7,8,5,3,7,8,8,7,67,67.5,40,55.55555556,29,65.625,10,13,3,L2,Cantonese,"1970, Ba In Accounting",N/A,16,0,26,44,7,5,5,0,0,0,0,2.113722704,Chinese
33,35,M,Househusband,I,None,NA,18,2,1,2,5,8,8,8,8,8,8,8,8,8,7,79,97.5,50,77.77777778,23,46.875,20,29,14,L2,Polish,Ma,Gcse,16,2,6,27,7.5,5,1,3,1,3,7,-0.847137678,Slavic
200,25,F,Waitress,M,Some English,NA,12,3,3,2,8,8,8,8,7,8,8,8,8,8,8,79,97.5,32,37.77777778,26,56.25,20,14,10,L2,Mandarin,A Levels,None,12,0,6,18,8,4,4,1,1,1,3,-0.037485392,Chinese
218,28,F,Student Experience Asst.,C,Ewnglish,NA,16,3,3,1,7,7,8,8,8,8,8,8,6,8,8,77,92.5,41,57.77777778,28,62.5,19,2,13,L2,German,A Level + Gcse French,Ma,12,4,2,20,8,5,5,1,1,2,4,3.248547082,Germanic
211,28,F,Pharmacist,PS,None,NA,21,2,3,2,7,8,8,8,8,8,6,8,8,8,8,78,95,48,73.33333333,23,46.875,12,7,10,L2,Chinese,Gcse,Msc,14,7,10,21,8,6,5,1,0,1,2,5.631313807,Chinese
239,41,F,House Manager,I,Russian And German,NA,15,1,0,2,3,8,8,8,8,8,7,8,8,8,8,79,97.5,29,31.11111111,13,15.625,9,9,2,L2,Polish,A Level Polish,Esol L2,13,2,18,33,8,2,2,1,0,4,5,-2.984963935,Slavic
308,46,M,Herbalist,PS,N/A,NA,16,0,0,0,0,8,8,8,8,7,7,8,8,8,7,77,92.5,33,40,10,6.25,20,0,8,L2,Mandarin,"1990, Ba In Chinese Medicine In Traditional Chinese Medicine College",2014-? Esol Entrey 3,16,0,21,38,8,2,1,1,1,1,3,-5.484478216,Chinese
225,55,M,Product Operative,M,No,NA,13,0,0,0,0,8,3,1,0,4,0,8,7,7,8,46,15,21,13.33333333,8,0,15,14,7,L2,Polish,High School,No,12,1,29,47,8,2,1,0,1,0,1,-4.938263634,Slavic
312,25,F,Receptionist In Chinese Clinic,C,Janpanese And English,NA,8.5,0,0,0,0,8,8,7,7,6,8,2,8,8,8,70,75,18,6.666666667,13,15.625,20,0,13,L2,Mandarin,2003 Graduated From Primary School And Went To Singapore For English.,2007-2009 Fashion Design (But Not Graduated),6,2.5,NA,16,9,4,5,0,1,0,1,-0.152457181,Chinese
206,27,F,Pharmacist,PS,Bi-Lingual Parents Mandarin-English,NA,17,4,2,3,9,8,8,8,8,8,8,8,7,8,8,79,97.5,44,64.44444444,36,87.5,15,12,13,L2,Mandarin,Gcse,Masters In Pharmacy,10,7,17,19,9,5,3,2,1,2,5,4.173088492,Chinese
203,23,F,Bar Staff,M,Russian And Polish,NA,13,2,3,1,6,8,7,8,8,8,8,8,8,8,7,78,95,48,73.33333333,25,53.125,13,19,9,L2,Lithuanian,Foundation Degree,Colle Qual In Engl;Nad,12,1,1,20,9,5,5,1,1,0,2,1.347394849,Baltic
229,33,F,Cleaner,M,No,NA,13,0,0,0,0,8,4,5,7,1,7,5,8,8,4,57,42.5,39,53.33333333,5,-9.375,25,20,14,L2,Polish,Accounting School,2 Years Esol,12,1,15,24,9,1,1,0,0,2,2,-5.682386614,Slavic
242,33,F,Teacher,PS,"German, Polish",NA,18,3,2,3,8,5,3,7,4,4,2,3,3,3,6,40,0,50,77.77777778,15,21.875,20,31,13,L2,Polish,Masters (18 Years),Advanced English 1 Year,18,0,2,25,9,5,5,1,1,3,5,1.326197242,Slavic
227,37,M,Product Operative,M,No,NA,13,0,0,0,0,8,4,3,7,1,6,7,7,7,5,55,37.5,20,11.11111111,6,-6.25,16,12,8,L2,Polish,Medical School,No,12,1,19,28,9,1,1,0,0,3,3,-5.682386614,Slavic
231,42,M,Self Employed,PS,German,NA,15,1,1,2,4,8,8,8,8,8,6,7,8,8,8,77,92.5,29,31.11111111,14,18.75,21,9,8,L2,Polish,University,Adult Literacy And Numeracy (Level 2),15,0,20,33,9,2,2,0,0,0,0,-3.814884611,Slavic
214,30,M,Academic Tutor,PS,None,NA,15,3,3,3,9,8,8,8,8,8,8,6,8,8,8,78,95,43,62.22222222,29,65.625,13,0,14,L2,French,A Levels/ Hnd,Phd Ongoing,13,2,3,20,10,5,4,2,2,1,5,2.061575238,Romance
241,32,F,Office Manager,C,A Little Gernab,NA,16,5,5,3,13,5,5,4,3,3,5,5,7,3,8,48,20,32,37.77777778,9,3.125,16,6,3,L2,Polish,High School And University,Accounting,15,1,11,22,10,5,3,1,1,2,4,1.94583495,Slavic
217,35,F,Researcher,PS,Eng;Ish,NA,17,4,4,2,10,5,4,3,4,6,4,5,4,6,4,45,12.5,46,68.88888889,27,59.375,11,13,10,L2,Polish,Masters,None,12,5,1,25,10,5,4,1,1,1,3,3.962727471,Slavic
248,39,F,Student,PS,Russian At School,NA,18,3,3,1,7,6,4,6,4,4,4,4,3,4,6,45,12.5,49,75.55555556,10,6.25,16,21,11,L2,Polish,Master Degree (5years),Bsc (First Year),17,1,13,28,10,5,4,2,2,2,6,0.990343681,Slavic
309,38,F,Clinic Manager,PS,English,NA,19,4,4,4,12,8,8,8,8,8,1,8,8,8,8,73,82.5,49,75.55555556,11,9.375,10,0,6,L2,Mandarin,"2001, Ma In Accounting",N/A,19,0,3,26,12,3,1,4,4,4,12,-1.590253389,Chinese
204,39,M,Academic Tutor,PS,None,NA,21,5,5,2,12,8,8,8,8,8,7,8,8,8,8,79,97.5,36,46.66666667,34,81.25,19,6,15,L2,Russian,"Bsc, Msc",Phd,17,4,2,26,13,5,5,1,1,0,2,4.561089519,Slavic
209,30,M,It Tech Support,C,None,NA,21,3,3,2,8,8,8,7,8,8,8,8,8,8,8,79,97.5,48,73.33333333,30,68.75,25,16,8,L2,Russian,Gcse,Foundation Degree In English,21,0,1,16,14,5,5,1,1,2,4,1.326197242,Slavic
311,39,F,Interpreter,PS,English And Germany,NA,17.5,1,2,1,4,7,8,8,8,8,8,7,8,8,8,78,95,37,48.88888889,20,37.5,17,9,12,L2,Mandarin,1999 Ba In English Literature,2002 Ma In Educational Studies,16,1.5,NA,24,14,5,4,0,1,2,3,0.47592551,Chinese
238,46,M,Driver,M,No,NA,10,2,2,1,5,8,4,4,7,8,4,8,8,7,6,64,60,37,48.88888889,21,40.625,23,3,15,L2,Polish,Chef,No,10,0,7,32,14,2,1,1,1,1,3,-4.171935779,Slavic
303,40,F,Cashier,M,English,NA,17,1,1,1,3,8,6,4,7,0,8,0,7,6,4,50,25,29,31.11111111,11,9.375,16,1,8,L2,Cantonese,"1997,Ba In Maths","2005,Ma In Maths In Newcastle College",16,1,1,20,15,5,3,1,1,1,3,-0.679249924,Chinese
305,34,M,Company Director,PS,English,NA,15,5,5,0,10,8,8,8,8,8,1,8,8,8,8,73,82.5,29,31.11111111,13,15.625,24,0,15,L2,Cantonese,"1997, Graudated From Secondary School In Hk.","2008, Ba In Computer Science Was Awarded By The University Of Central Lancaster.",9,6,NA,16,18,4,4,5,5,4,14,3.764819073,Chinese
306,62,M,Retired,I,English,NA,14,3,2,3,8,8,8,8,7,8,8,6,8,8,7,76,90,51,80,36,87.5,8,9,4,L2,Cantonese,"1971, Graduated From The Senior High School In Hk.","1973, Gained The Professional Qualifications In Nursing",12,2,NA,20,42,5,5,2,2,3,7,2.418626406,Chinese
