ID;L3;Years of L3;Gender;L3 selfasses;L3 grade;L2 selfasses;L2 grade;V2Non-SU-I-1;V2Non-SU-I-2 ;V2Non-SU-I-3;V2Non-SU-I-4;V2Non-SU-I-5;V2Non-SU-I-6;V2SU-I-1 ;V2SU-I-2;V2SU-I-3;V2SU-I-4;V2SU-I-5;V2SU-I-6;V3Non-SU-I-1;V3Non-SU-I-2;V3Non-SU-I-3;V3Non-SU-I-4;V3Non-SU-I-5;V3Non-SU-I-6;V3SU-I-1;V3SU-I-2;V3SU-I-3;V3SU-I-4;V3SU-I-5;V3SU-I-6
SANK046;1;4;1;1;2;5;4;1;2;1;2;2;2;2;2;2;2;2;2;3;4;;3;3;2;4;;3;4;4;2
IKRO312;1;4;1;2,5;3;6;5;1;1;1;4;1;1;1;2;1;2;1;1;3;4;4;4;4;4;3;4;4;4;4;3
NANV197;1;4;1;3;5;6;5;1;2;1,5;1;1;4;1;1;1;2;2;2;3;2;4;3;2;3;3;4;2;3;4;3
LGUA964;1;4;1;2;5;5;4;2;2;2;4;2;1;2;2;2;2;2;3;4;4;3;4;4;4;4;3;4;3;4;4
BSIX742;1;4;1;3;4;6;5;1;1;1;1;2;4;2;4;1;1;2;3;3;4;4;4;4;4;4;3;4;3;4;4
LANR592;1;4;1;2;3;4;4;1;2;1;1;1;1;2;1;3;1;2;3;1;4;2;4;3;4;4;2;4;3;4;1
BLIO383;1;4;1;3;3,5;6;5;1;1;1;1;1;1;2;2;1;1;2;1;2;4;4;4;3;3;4;1;2;4;4;3
BKJI986;1;4;2;4;5;5;4;1;2;1;1;1;1;4;1;1;1;1;1;2;4;4;2;1;4;3;1;3;3;4;1
BHII987;1;4;1;4;5;6;6;1;2;2;2;2;1;2;2;2;2;2;2;2;4;3;4;4;4;4;4;4;4;4;4
SLEN967;1;4;1;3;3;6;5;1;1;1;1;1;1;1;1;1;1;2;1;3;4;4;4;4;4;3;3;2;3;4;4
ÅELN739;1;4;2;4;5;6;5;1;2;1;1;1;1;2;1;1;2;1;3;2;4;3;2;4;4;4;1;4;4;4;4
LAIO443;1;4;1;3,5;4;5;4;1;1;1;2;1;1;1;1;1;1;2;2;2;4;2;4;4;4;4;2;4;2;4;4
UMOO644;1;4;1;2;2;6;4;2;1;2;2;1;1;1;3;2;4;2;2;2;4;4;3;3;3;4;2;3;4;4;4
BBIO339;1;4;2;2,5;5;5;5;3;3;2;4;3;3;2;2;2;3;3;3;4;4;3;4;4;4;4;4;4;4;4;4
BHAO076;1;3;2;2,5;4;5;4;2;2;1;2;1;2;2;2;2;2;2;3;2;4;3;4;3;4;3;3;4;4;4;3
