ID;L3;Years of L3;Gender;L3 selfasses;L3 grade;L2 selfasses;L2 grade;V2Non-SU-I-1;V2Non-SU-I-2 ;V2Non-SU-I-3;V2Non-SU-I-4;V2Non-SU-I-5;V2Non-SU-I-6;V2SU-I-1 ;V2SU-I-2;V2SU-I-3;V2SU-I-4;V2SU-I-5;V2SU-I-6;V3Non-SU-I-1;V3Non-SU-I-2;V3Non-SU-I-3;V3Non-SU-I-4;V3Non-SU-I-5;V3Non-SU-I-6;V3SU-I-1;V3SU-I-2;V3SU-I-3;V3SU-I-4;V3SU-I-5;V3SU-I-6
NINA248/5;2;1;2;2;6;5;4;1;1;1;1;1;1;2;2;2;2;2;3;1;3;3;3;2;3;3;3;3;3;3;4
NKRO065;2;1;2;2;6;5;4;1;3;2;1;2;2;3;2;2;3;1;3;3;4;4;4;4;4;4;1;4;4;4;1
ÅJUI677;2;1;2;2;5;5,5;6;1;2;1;1;1;4;2;1;2;2;2;1;4;4;4;4;3;4;4;4;3;4;4;3
URIA874;2;1;1;4,5;4;4;4;2;3;2;3;2;2;3;3;4;3;3;4;3;4;3;4;4;3;4;2;2;3;4;3
NTUØ833;2;1;1;2;5;5;4;1;2;1;3;2;1;2;2;3;2;2;3;2;4;3;4;1;3;4;2;4;3;4;3
LTON631;2;1;2;2;4;5;4;1;1;1;1;1;2;1;1;1;1;1;2;1;4;2;2;3;3;3;1;2;2;2;2
ÅVEA212;2;1;1;1;4;5;4;1;1;1;1;1;1;1;1;2;1;1;2;2;3;1;3;2;2;2;2;3;4;4;3
BWEE058;2;1;2;1;4;3;2;3;3;2;4;2;3;3;2;1;4;3;4;2;4;3;4;3;4;3;3;3;3;4;3
NHEA484;2;1;2;5;5;4;4;1;2;1;2;2,5;2;1;2;2;2;2,5;2,5;2;4;3;4;4;4;3;1;3;3;4;3,5
UTRN602;2;1;2;1;5;4,5;5;1;1;1;1;1;1;3;2;2;2;3;2;3;4;4;4;4;3;2,5;3;4;3;4;4
NTOE340;2;1;1;2;5;5;4;1;1;1;4;1;1;1;1;1;4;1;1;2;2;2;1;4;3;4;1;4;1;4;3
SANE796;2;3;1;3;5;6;5;1;1;1;2;1;2;1;1;1;2;2;1;1;4;1;2;2;3;4;3;4;4;4;4
SEDO968/826;2;3;1;3;4;4;4;2;1;1;4;1;1;2;1;3;1;2;2;2;4;3;4;4;4;4;2;4;4;3;3
ÅMOV825;2;3;1;3;5;4;4;2;2;2;2;1;2;3;2;3;3;3;3;3;4;3;3;4;3;4;3;4;3;4;4
ÅREA113;2;3;1;3;4;5;4;1;2;1;;2;2;1;2;1;;;;4;2;3;3;3;;3;2;;2;;2
ÅKRA844;2;3;1;3;4;5;4;2;2;1;2;1;2;2;2;2;2;4;1,5;3;4;4;4;4;4;4;4;4;4;4;3
SSIY416;2;3;2;2;3;5;4;1;1;1;1;1;1;1;2;3;2;2;2;3;4;2;4;3;3;4;1;4;3,5;4;4
SRIN195;2;3;2;2;4;4;4;3;2;2;1;2;2;3;4;3;2;4;4;3;4;3;4;3;3;4;4;4;4;4;4
SKAS461;2;3;2;2;4;4;4;1;3;3;4;2;3;2;3;3;2;2;4;2;3;3;3;4;3;3;2;1;3;3;2
EANÅ244;2;3;1;2;4;5;5;1;1;1;1;1;1;2;2;1;1;2;2;4;4;4;4;4;3;4;4;4;4;4;4
NMAA363;2;3;1;3;5;5;5;2;1;2;1;2;1;2;2;2;2;1;2;2;3;2;3;2;3;4;3;4;3;4;3
BRUE584;2;3;2;4,5;5;5;4;1;2;1;1;1;4;2;2;4;2;1;1;3;4;4;4;4;4;4;3;4;4;4;4
ÅANO442;2;3;1;2;4;5;5;2;2;2;2;1;1;2;3;2;2;4;3;3;4;4;4;4;4;4;3;4;3;4;3
NSUH955;2;3;1;3;5,5;5;4,5;1;2;2;1;2;1;3;2;2;2;3;3;2;4;4;4;4;4;4;3;4;4;4;4
BLAA608;2;3;2;3;3;5;4;1;1;1;1;2;2;1;2;2;1;2;2;3;4;2;4;3;4;3;1;4;2;4;3
SJON203;2;3;1;3;3;6;5;2;1;1;1;1;;1;1;1;1;1;1;3;4;3;3;1;4;3;1;4;4;4;4
SMAV607;2;3;1;2;4;6;6;1;1;1;2;1;3;2;2;1;1;2;3;2;3;3;4;3;3;4;3;4;3;4;4
CKRA553;2;3;1;1,5;3;6;5;2;2;2;1;3;3;2;2;2;2;2;2;2;3;4;4;4;3;3;3;4;3;4;4
ULEA666;2;3;1;2;5;2;5;1;2;1;1;1;1;2;2;3;2;2;4;3;3;3;4;3;3;4;2;3;2;4;3
CHIÅ769;2;3;1;4,5;4;6;4;1;1;1;2;2;2;3;3;2;2;1;3;1;4;4;4;4;4;4;1;4;3;4;4
SNIE778;2;3;1;2;4;6;4;1;2;1;3;1;1;1;2;1;4;1;1;2;3;4;2;4;3;4;1;3;3;3;3
SWEH581;2;3;1;2;5;6;4;1;2;1;2;1;2;3;1;2;2;1;2;2;4;3;4;3;3;4;1;4;4;4;4
ÅHAL339;2;3;1;4;6;6;5;2;2;2;4;3;3;2;3;3;3;2;3;3;4;3;4;4;3;4;4;4;4;4;4
SMAI/S266;2;3;2;2,5;5;3;3;2;2;2;2;3;2;2;2;3;4;2;4;4;4;4;4;4;4;4;2;3;4;3;4
NHIN935;2;3;2;4,5;4;4;4;1;1;2;1;1;4;3;1;1;1;1;2;2;4;1;4;4;3;3;1;4;4;4;3
NTUU580;2;3;2;4,5;4;4,5;5;1;1;1;2;1;1;2;1;1;4;1;1;3;4;4;4;2;4;4;1;2;2;4;4
SKRR901;2;3;1;4,5;4;6;4;2;2;2;1;3;1;2;2;2;2;3;3;4;4;4;4;4;4;4;2;4;4;4;3
SSYA704;2;3;2;3;4;4,5;5;2;1;3;1;2;2;3;3;2;2;3;2;3;3;3;3;3;3;4;3;4;2;4;3
BBEU310;2;3;2;3,5;4;4,5;4;1;2;2;1;2;1;3;3;2;3;3;3;3;4;3;3;3;3;4;4;4;2;4;3
NHEA271;2;3;2;3;5;4;4;2;2;2;1;2;3;3;3;3;3;2;3;2;4;4;3;4;4;4;2;4;4;4;3
ÅMOA008;2;3;2;2;5;6;6;1;1;1;2;1;4;2;1;2;2;3;3;2;3;3;4;3;4;4;4;4;4;4;4
ÅMAR373;2;3;2;5;5;4;4;1;1;1;1;2;1;1;2;2;2;4;4;1;4;4;2;2;3;4;2;2;4;4;3
ÅKRS965;2;3;2;3;5;4;4;1;1;1;1;2;1;1;2;2;2;2;2;1;3;2;3;2;2;4;2;4;4;4;4
STOA100;2;3;1;3;4;6;5;1;2;1;2;1;1;1;2;2;1;3;2;3;4;4;4;4;4;3;3;4;3;4;4
KHEA452;2;3;1;2,5;3;6;5;1;2;3;2;2;4;2;3;2;2;2;2;3;4;4;4;4;3;3;3;4;4;4;3
SINU957;2;3;2;2;4;4;4;2;2;2;2;2;2;2;2;2;2;2;3;2;4;3;3;3;3;4;2;3;3;4;3
BBJR011;2;3;1;2;4;5;5;1;2;2;2;1;2;2;1;1;2;2;2;3;3;3;4;4;3;4;4;4;3;4;3
EELI305;2;3;1;2;3;6;3;1;1;1;1;1;1;1;1;1;1;1;1;3;4;1;4;2;4;4;4;3;3;4;4
BELR313;2;3;1;4;5;6;5;1;2;1;2;2;1;1;1;1;2;1;2;4;4;3;4;2;3;4;4;4;4;4;3
EKIN985;2;3;1;6;4;6;4;1;1;1;1;1;1;1;1;1;1;1;1;3;4;3;4;4;4;4;4;4;4;4;4
NMAA694;2;3;1;3;5;6;5;2;2;2;2;2;2;3;3;3;3;3;3;4;4;3;4;4;4;4;1;4;4;4;4
ÅLIA798;2;2;1;3;4;3;4;1;1;2;4;1;1;4;1;3;2;4;2;3;2;1;1;3;4;4;4;2;2;4;2
SLIA329;2;2;1;2;3;6;5;1;1;2;1;1;2;2;2;2;2;2;2;3;4;3;4;3;4;3;2;3;3;4;3
ÅMOR836;2;2;1;2;3;6;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;3;4;4;4;4;4;4;3;4;4
SASR/E109;2;2;1;3;4;4;;1;2;2;2;2;1;2;2;2;2;4;1,5;3;3;4;3;3;4;4;2;4;3;4;4
SSIU099;2;2;2;1;3;3;3;1;1;1;1;1;1;3;3;2;1;1;2;3;3;2;3;2;3;4;1;3;2;3;3
SANA843;2;2;1;3;3;6;4;1;2;1;3;3;1;1;1;2;2;2;1;2;4;4;3;3;2;3;2;4;2;3;3
SGRU/T271;2;2;1;1;2;2;3;2;4;4;1;1;1;2;2;3;3;2;4;3;3;3;3;4;2;3;2,5;3;3;4;3
UMAU020;2;2;1;1;2;5;4;1;1;1;1;1;1;2;1;2;1;1;3;1;4;2;2;2;3;2;1;1;2;3;3
UDIR020;2;4;1;2,5;6;6;6;2;3;2;3;2;2;3;3;2;2;3;2;3;3;3;4;3;2;4;3;4;4;4;4
VGUT897;2;4;2;3;5;5;6;1;1;1;1;1;1;2;1;1;1;2;1;1;3;4;4;3;4;3;3;2;3;4;4
SASI844;2;4;1;3;4;5;5;1;1;1;4;2;1;2;2;2;2;4;2;2;4;4;4;4;4;3;2;3;3;4;4
ÅBER062;2;4;1;3;4;5;5;1;2;1;2,5;1;1;2;2;2;2;2;2;3;4;2;4;2,5;3;3;1;3;3;3;3
SANR064;2;4;1;3;4;5,5;5;3;1;1;4;1;4;2;2;2;2;2;4;4;4;4;4;3;4;4;4;4;3;4;3
BLIA981;2;4;2;2;4;5,5;4;2,5;2;3;2;2;3;2,5;2,5;3;2;2,5;2,5;2,5;3;3;3;3;3;3;1;4;4;4;4
SBEÅ057;2;4;1;3;4;5;5;1;2;2;1;1;2;2;3;2;2;2;1;2;4;3;2;2;4;3;1;4;2;4;3
UOLR635;2;4;1;3;5;5;6;1;1;2;4;1;4;2;1;3;2;3;2;2;4;4;4;4;3;4;3;4;3;4;3
SKAS055;2;4;1;4;4;6;6;2;2;1;4;1;2;2;2;1;1;2;2;4;2;2;3;4;4;3;3;3;4;4;4
S/ÅKRL242;2;4;1;4;4;6;4;1;2;1;1;1;;2;1;2;2;2;2;3;4;4;4;3;4;4;;4;3;4;
BRAA518;2;4;2;1;3;5,5;5;1;1;1;1;1;1;2;1;1;1;1;4;3;4;2;2;3;3;4;2;4;2;4;3
EASA812/7;2;4;1;3;3;4;3;1;1;1;1;2;3;2;1;2;1;2;3;2;3;3;2;2;4;3;2;3;3;4;3
SLII621;2;4;1;4;4;5;5;1;1;1;2;;3;1;1;1;3;;;3;4;1;2;;;4;1;4;2;;3
BMAI344;2;4;1;3;3;6;6;1;3;2;3;2;2;1;1;2;2;;2;3;3;3;2;3;4;3;3;3;3;4;3
SMOA678;2;4;1;5;5;5;5;1;1;1;3;1;1;2;1;1;1;1;1;3;3;3;3;3;3;3;4;3;3;4;3
URIN840;2;4;1;1,5;3;5;5;2;2;2;2;3;2;3;3;3;3;2;3;3;3;3;2;2;3;4;2;4;3;4;3
SBEA980;2;4;2;2,5;4;5;5;1;1;1;1;1;1;4;1;2;1;1;4;4;4;3;4;4;4;4;1;4;4;4;4
SEVL403;2;4;2;2,5;4;5;5;1;1;1;1;1;4;1;1;1;1;1;1;3;3;3;3;2;3;4;1;4;1;3;3
NMAA242;2;4;1;3;3;5;5;1;2;1;1;1;4;4;2;2;2;2;2;2;4;3;4;3;4;4;4;2;3;4;4
BBEU431;2;4;1;2,5;5;6;6;2;2;2;2;2;3;2;3;2;3;3;3;3;4;4;4;3;4;4;2;4;4;4;4
KANA167;2;4;2;2,5;4;3,5;4;2;2;2;2;1;2;2;3;2;1;3;2;3;4;3;4;2;4;3;2;3;2;4;2
BKRE452;2;4;2;2,5;3;4;3;2;2;2;2;3;2;2;2;2;2;3;3;3;4;4;3;2;2;4;3;4;3;3;3
SHEL876;2;4;2;3;5;6;5;1;1;1;1;1;1;1;1;1;1;1;1;3;4;3;4;4;4;3;3;4;1;4;4
SVIØ510;2;4;1;4;4;6;5;2;2;2;3;1;1;1;2;2;2;2;2;2;3;4;3;3;3;4;1;3;3;3;3
EHEA194;2;4;1;2;2;6;4;2;1;1;4;1;1;2;1;1;1;3;3;1;4;4;4;3;3;3;4;3;4;4;3
ERAO442;2;4;2;3;3;5;4;1;1;1;2;2;4;2;2;1;2;3;2;2;4;4;3;3;4;3;1;4;3;4;3
SEIO103;2;4;1;2;3;4;3;1;2;1;2;1;2;2;2;2;2;2;3;2;3;2;2;4;4;4;2;3;4;4;4
NMOI241;2;4;1;3;4;4;4;1;;1;4;1;1;3;;1;1;2;2;1;1;2;3;3;1;3;1;4;4;4;3
BBIE911/77;2;4;1;;3;;4;1;1;1;1;1;2;2;1;1;1;2;1;3;4;3;3,5;4;3;4;1;3;4;4;4
UUNO561;2;4;1;2;3;3;4;1;3;1;2;1;1;2;2;2;2;1;1;2;3;3;3;2;2;3;2;3;4;4;3
SMAO470;2;4;;3;;6;;2;1;1;1;1;1;2;1;2;1;1;2;3;4;4;4;4;2;4;2;3;4;4;4
SSID616;2;3;1;2;2;6;4;3;2;2;3;1;2;3;3;3;3;1;3;2;2;3;2;4;3;4;2;3;2;4;4
SHRI714;2;1;2;4;3;3;3;1;1,5;1;2;2;2;2;2;1;2;2;2;4;4;4;4;4;4;4;1;3;4;4;4
HALI620;2;1;2;5;6;4;4;1;2;1;2;2;3;3;2;3;2;2;2;4;4;4;4;4;4;4;1;3;3;3;4
ATOM830;2;1;1;1;;5;4;2;1;1;1;2;2;3;2;2;2;1;3;4;4;4;4;4;3;4;4;4;3;4;4
MRUE040;2;1;1;2;4;6;4;2;2;2;3;2;3;2;3;3;3;2;3;3;4;3;4;3;4;4;2;4;3;3;4
LKRT764;2;1;1;2;4;6;5;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4
EGRO919;2;1;1;1;;4;;2;2;2;;2;2;3;3;2;;1;3;3;4;4;1;3;1;4;3;;3;3;4
HGRA272;2;1;2;3;5;6;4;1;1;1;4;1;1;1;1;2;2;1;1;3;4;4;4;3;3;4;1;2;3;4;4
