language	subject	disambiguation	item	crit1	crit2	crit3	AoO	age
F	f13	2	13	0	0.699245928	0.115477217	11.00	19.00
F	f13	1	14	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f13	2	15	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f13	1	16	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f14	2	1	0.9510904	1.584962501	0.674904626	28.00	32.00
F	f14	1	2	-0.696607857	-1.070389328	-1.049468676	28.00	32.00
F	f14	2	3	-0.851677253	-1.584962501	-0.533823652	28.00	32.00
F	f14	1	4	0.325240829	0.503432615	0.267933205	28.00	32.00
F	f14	2	5	-0.231325546	1.584962501	-0.584962501	28.00	32.00
F	f14	1	6	0.682259702	1.584962501	1.184424571	28.00	32.00
F	f14	2	7	-1.584962501	0.467778961	-1.584962501	28.00	32.00
F	f14	1	8	-0.442518236	0.192645078	-0.551642428	28.00	32.00
F	f14	2	9	0.628031223	1.584962501	0.160464672	28.00	32.00
F	f14	1	10	0	-0.299560282	0.409644241	28.00	32.00
F	f14	2	11	-0.215267987	0.049753035	-0.249359469	28.00	32.00
F	f14	1	12	0.506959989	0.882348411	0.090197809	28.00	32.00
F	f14	2	13	0.2410081	-1.584962501	0.561878888	28.00	32.00
F	f14	1	14	-0.605721061	1.584962501	-0.152003093	28.00	32.00
F	f14	2	15	0.127379306	-1.584962501	0.662003536	28.00	32.00
F	f14	1	16	1.092566119	1.584962501	1.584962501	28.00	32.00
F	f15	1	1	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	2	2	1.584962501	0.02090899	1.584962501	12.00	25.00
F	f15	1	3	-0.349942471	1.584962501	-1.295455884	12.00	25.00
F	f15	2	4	1.584962501	-0.528549192	1.584962501	12.00	25.00
F	f15	1	5	1.152003093	1.584962501	1.584962501	12.00	25.00
F	f15	2	6	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	1	7	0.103093493	1.584962501	-0.652076697	12.00	25.00
F	f15	2	8	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	1	9	-0.447458977	1.584962501	-1.259386629	12.00	25.00
F	f15	2	10	-0.610053482	1.041820176	-0.852774047	12.00	25.00
F	f15	1	11	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	2	12	1.584962501	1.02358682	1.584962501	12.00	25.00
F	f15	1	13	1.584962501	-0.470220415	1.584962501	12.00	25.00
F	f15	2	14	1.584962501	0.022195746	1.584962501	12.00	25.00
F	f15	1	15	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	2	16	0.638204522	-0.561878888	0.823122238	12.00	25.00
F	f16	2	1	-0.118319967	0.932885804	0.105610188	10.00	23.00
F	f16	1	2	-0.136204384	1.584962501	-1.346450414	10.00	23.00
F	f16	2	3	-1.154328146	0.122335543	-1.584962501	10.00	23.00
F	f16	1	4	0.106915204	1.031026896	0.736965594	10.00	23.00
F	f16	2	5	-0.144389909	-0.020319984	-0.376148486	10.00	23.00
F	f16	1	6	-0.150866666	0.925999419	-0.345135486	10.00	23.00
F	f16	2	7	0.169925001	1.028569152	0.062735755	10.00	23.00
F	f16	1	8	-0.391687012	1.584962501	-0.462971976	10.00	23.00
F	f16	2	9	-0.615519968	0.065588342	-1.584962501	10.00	23.00
F	f16	1	10	0.942119084	0.525091045	1.146078259	10.00	23.00
F	f16	2	11	1.498805857	-0.206450877	1.584962501	10.00	23.00
F	f16	1	12	-0.214124805	-1.041820176	-0.427421224	10.00	23.00
F	f16	2	13	0.062735755	-1.031942893	0.197036847	10.00	23.00
F	f16	1	14	-0.136204384	1.584962501	0.271302022	10.00	23.00
F	f16	2	15	0.099535674	0.267933205	-0.329307625	10.00	23.00
F	f16	1	16	-0.649312912	0.91753784	-1.222392421	10.00	23.00
F	f17	1	1	0.444302094	1.518236387	0.566583971	11.00	25.00
F	f17	2	2	0.29876211	-0.263034406	0.371094152	11.00	25.00
F	f17	1	3	0.334419039	1.584962501	0.461331152	11.00	25.00
F	f17	2	4	0.126633439	-0.06871275	-0.652076697	11.00	25.00
F	f17	1	5	-1.584962501	0.893084796	-1.584962501	11.00	25.00
F	f17	2	6	0.854802084	1.178337241	0.508464363	11.00	25.00
F	f17	1	7	1.158903595	-0.271302022	1.584962501	11.00	25.00
F	f17	2	8	0.438442104	0.749593202	0.680931559	11.00	25.00
F	f17	1	9	-0.787151351	1.028569152	-1.184424571	11.00	25.00
F	f17	2	10	1.584962501	1.584962501	1.584962501	11.00	25.00
F	f17	1	11	0.03355256	1.584962501	0.736965594	11.00	25.00
F	f17	2	12	-0.90442234	-0.683026787	-1.584962501	11.00	25.00
F	f17	1	13	1.154328146	-0.345135486	1.584962501	11.00	25.00
F	f17	2	14	-0.237394585	-0.470220415	-0.508464363	11.00	25.00
F	f17	1	15	0.074000581	1.584962501	-0.206450877	11.00	25.00
F	f17	2	16	0.389411692	-0.081683798	-0.049753035	11.00	25.00
F	f18	2	1	0.271302022	1.143965774	-0.303069068	11.00	21.00
F	f18	1	2	0	1.321928095	-0.628031223	11.00	21.00
F	f18	2	3	-0.620712526	-0.225881407	-0.859822342	11.00	21.00
F	f18	1	4	0.051530301	0.932885804	-0.041222663	11.00	21.00
F	f18	2	5	0.643207642	0.736965594	1.049468676	11.00	21.00
F	f18	1	6	0.811927652	1.584962501	0.9510904	11.00	21.00
F	f18	2	7	-0.643207642	0.833990049	-1.049468676	11.00	21.00
F	f18	1	8	0.02090899	0.190822342	-0.180572246	11.00	21.00
F	f18	2	9	1.148863386	1.584962501	1.092566119	11.00	21.00
F	f18	1	10	-0.442518236	1.584962501	-0.736965594	11.00	21.00
F	f18	2	11	1.445799753	-1.584962501	1.584962501	11.00	21.00
F	f18	1	12	0.503432615	0.691877705	-0.084888898	11.00	21.00
F	f18	2	13	0.139724764	0.771522816	-0.584962501	11.00	21.00
F	f18	1	14	1.025840005	1.584962501	0.75576319	11.00	21.00
F	f18	2	15	-0.134749412	0.060120992	-0.220500362	11.00	21.00
F	f18	1	16	-0.809244503	0.278301162	-1.191298652	11.00	21.00
F	f19	1	1	0.789914474	1.584962501	1.021695071	10.00	20.00
F	f19	2	2	0.932885804	-1.584962501	1.490325627	10.00	20.00
F	f19	1	3	1.584962501	0.942119084	1.584962501	10.00	20.00
F	f19	2	4	-0.872994723	-0.384143491	-1.584962501	10.00	20.00
F	f19	1	5	-0.051530301	0.736965594	-0.043721377	10.00	20.00
F	f19	2	6	0.530514717	-0.135351853	0.096215315	10.00	20.00
F	f19	1	7	-0.131244533	0.043721377	-0.043721377	10.00	20.00
F	f19	2	8	1.584962501	-1.350098768	1.584962501	10.00	20.00
F	f19	1	9	1.383914982	-1.584962501	1.584962501	10.00	20.00
F	f19	2	10	0.910732662	-0.634482637	1.229133999	10.00	20.00
F	f19	1	11	0.222392421	0.455945443	0.614108846	10.00	20.00
F	f19	2	12	1.584962501	-1.099535674	1.584962501	10.00	20.00
F	f19	1	13	0.847996907	1.584962501	1.267480311	10.00	20.00
F	f19	2	14	-0.851677253	0.542149417	-1.584962501	10.00	20.00
F	f19	1	15	0.255257055	-0.190822342	0.404695555	10.00	20.00
F	f19	2	16	0	-0.376148486	-0.126633439	10.00	20.00
F	f2	2	1	-0.223964841	1.306661338	0.289506617	12.00	19.00
F	f2	1	2	0.932885804	1.584962501	0.628031223	12.00	19.00
F	f2	2	3	1.584962501	0.864772619	1.584962501	12.00	19.00
F	f2	1	4	0.078711976	1.584962501	-0.169925001	12.00	19.00
F	f2	2	5	0.406625259	-1.584962501	0.485426827	12.00	19.00
F	f2	1	6	1.584962501	1.584962501	1.584962501	12.00	19.00
F	f2	2	7	-0.183864192	-0.485426827	0.169925001	12.00	19.00
F	f2	1	8	0.7481277	-0.118319967	0.354430735	12.00	19.00
F	f2	2	9	0.084888898	0.445139531	0.048094288	12.00	19.00
F	f2	1	10	0.512206158	0.584962501	0.278301162	12.00	19.00
F	f2	2	11	0.198328716	-0.584962501	0.096215315	12.00	19.00
F	f2	1	12	-0.249359469	1.422233001	-0.30718151	12.00	19.00
F	f2	2	13	0.859822342	-0.851677253	1.437808807	12.00	19.00
F	f2	1	14	0.532667993	0.384143491	0.462971976	12.00	19.00
F	f2	2	15	-0.2410081	-0.956931278	-0.356565097	12.00	19.00
F	f2	1	16	1.584962501	1.584962501	1.584962501	12.00	19.00
F	f20	2	1	-1.584962501	0.126633439	-1.584962501	13.00	21.00
F	f20	1	2	-1.584962501	-1.584962501	-1.584962501	13.00	21.00
F	f20	2	3	-1.584962501	1.584962501	-1.584962501	13.00	21.00
F	f20	1	4	0.641546029	-1.584962501	1.213595473	13.00	21.00
F	f20	2	5	-0.251538767	-1.584962501	-0.263034406	13.00	21.00
F	f20	1	6	1.584962501	0.547487795	1.584962501	13.00	21.00
F	f20	2	7	1.584962501	0.599759503	1.584962501	13.00	21.00
F	f20	1	8	0.746966986	-0.501659854	1.241888597	13.00	21.00
F	f20	2	9	0.965892146	0.989804233	0.981384322	13.00	21.00
F	f20	1	10	0.093714435	-1.584962501	0.222392421	13.00	21.00
F	f20	2	11	0.411068597	-1.584962501	0.68589141	13.00	21.00
F	f20	1	12	-0.817135943	0.146486088	-1.366782331	13.00	21.00
F	f20	2	13	-0.537656786	-0.351472371	-0.91753784	13.00	21.00
F	f20	1	14	-1.584962501	-1.584962501	-1.584962501	13.00	21.00
F	f20	2	15	1.584962501	1.584962501	1.584962501	13.00	21.00
F	f20	1	16	1.489146713	-0.500204883	1.584962501	13.00	21.00
F	f21	1	1	-0.532667993	0.391687012	-0.648156327	12.00	22.00
F	f21	2	2	-0.643207642	0.736965594	-1.584962501	12.00	22.00
F	f21	1	3	-0.421826665	1.584962501	-0.717269793	12.00	22.00
F	f21	2	4	0.376148486	-0.233199176	-0.30718151	12.00	22.00
F	f21	1	5	-0.325240829	1.025840005	-0.712197689	12.00	22.00
F	f21	2	6	-1.054447784	0.569695744	-1.584962501	12.00	22.00
F	f21	1	7	0.027221469	-0.723938914	-0.149377624	12.00	22.00
F	f21	2	8	0.458364931	-0.503432615	-0.029443778	12.00	22.00
F	f21	1	9	0.789914474	-0.736965594	1.353636955	12.00	22.00
F	f21	2	10	0.565597176	1.584962501	0	12.00	22.00
F	f21	1	11	-1.119298928	0.066597749	-1.584962501	12.00	22.00
F	f21	2	12	-1.584962501	0	-1.584962501	12.00	22.00
F	f21	1	13	1.584962501	0.535037275	1.584962501	12.00	22.00
F	f21	2	14	-0.260866569	0.269760269	-1.389042291	12.00	22.00
F	f21	1	15	0.185214872	-0.314873337	-0.342601663	12.00	22.00
F	f21	2	16	-0.715023041	1.362570079	-0.88016023	12.00	22.00
F	f22	2	1	1.584962501	1.385653692	1.584962501	12.00	20.00
F	f22	1	2	1.584962501	1.584962501	1.584962501	12.00	20.00
F	f22	2	3	-1.584962501	-1.217417606	-1.584962501	12.00	20.00
F	f22	1	4	1.395484702	1.584962501	1.584962501	12.00	20.00
F	f22	2	5	0.976541027	1.584962501	1.584962501	12.00	20.00
F	f22	1	6	1.419903254	-1.584962501	1.584962501	12.00	20.00
F	f22	2	7	1.584962501	-0.341036918	1.584962501	12.00	20.00
F	f22	1	8	0.367456435	1.584962501	0.465663572	12.00	20.00
F	f22	2	9	1.584962501	-1.584962501	1.584962501	12.00	20.00
F	f22	1	10	-1.584962501	0.066597749	-1.584962501	12.00	20.00
